time,input_label,softmax_value,prediction_accuracy
0,2,0.9998832941055298,1.0
1,8,0.9978049397468567,1.0
2,1,0.9954328536987305,1.0
3,8,0.9916011691093445,1.0
4,7,0.9951817393302917,1.0
5,6,0.9982391595840454,1.0
6,9,0.9968582391738892,1.0
7,4,0.9999206066131592,1.0
8,2,0.8196383118629456,1.0
9,6,0.9997690320014954,1.0
10,7,0.9983030557632446,1.0
11,6,0.9997521042823792,1.0
12,4,0.9999772310256958,1.0
13,1,0.9910416007041931,1.0
14,2,0.9999997615814209,1.0
15,3,0.9999998807907104,1.0
16,3,0.9998806715011597,1.0
17,6,0.8954406380653381,1.0
18,3,0.9990153312683105,1.0
19,0,0.9984661340713501,1.0
20,0,0.9998812675476074,1.0
21,0,0.9997406601905823,1.0
22,0,0.9999691247940063,1.0
23,2,0.9992378950119019,1.0
24,1,0.987062394618988,1.0
25,8,0.9999774694442749,1.0
26,4,0.9981854557991028,1.0
27,9,0.9974431991577148,1.0
28,0,0.9987097978591919,1.0
29,6,0.9997860789299011,1.0
30,9,0.9871371984481812,1.0
31,4,0.9999872446060181,1.0
32,4,0.9936344623565674,1.0
33,8,0.9951594471931458,1.0
34,9,0.9996638298034668,1.0
35,1,0.9912770986557007,1.0
36,5,0.9999978542327881,1.0
37,8,0.9999902248382568,1.0
38,8,0.9999932050704956,1.0
39,5,0.9999924898147583,1.0
40,1,0.9979546070098877,1.0
41,7,0.9998354911804199,1.0
42,7,0.9992076754570007,1.0
43,7,0.9737029671669006,1.0
44,8,0.9988893866539001,1.0
45,9,0.9925819635391235,1.0
46,8,0.9999791383743286,1.0
47,0,0.9999845027923584,1.0
48,2,0.6428723931312561,1.0
49,8,0.9998406171798706,1.0
50,1,0.999632716178894,1.0
51,2,0.999994158744812,1.0
52,9,0.9574803709983826,1.0
53,8,0.9986103773117065,1.0
54,8,0.9999995231628418,1.0
55,8,0.9986932873725891,1.0
56,3,0.9999483823776245,1.0
57,0,0.9999775886535645,1.0
58,6,0.9853349924087524,1.0
59,0,0.9999158382415771,1.0
60,2,0.9988553524017334,1.0
61,7,0.9996316432952881,1.0
