,time,p,input,discounted_p
0,0,0.9517487814837644,1.0,5.784345590245435
1,1,0.9715949698078199,1.0,0.9715949698078199
2,2,0.16260794980654047,0.0,0.16260794980654047
3,3,0.44630348023191024,0.0,0.44630348023191024
4,4,0.013255798596179758,0.0,0.013255798596179758
5,5,0.9871496497722596,1.0,0.9871496497722596
6,6,0.6787928587159029,1.0,0.6787928587159029
7,7,0.5680100919025562,0.0,0.5680100919025562
8,8,0.8984939584923736,1.0,0.8984939584923736
9,9,0.7101195414218681,1.0,0.7101195414218681
10,10,0.4118762604164409,0.0,0.4118762604164409
11,11,0.37912870165336365,0.0,0.37912870165336365
12,12,0.12410870001691887,1.0,0.12410870001691887
13,13,0.4832644672046851,1.0,0.4832644672046851
14,14,0.7973941552300849,1.0,0.7973941552300849
15,15,0.516663625039743,0.0,0.516663625039743
16,16,0.47376993513721233,0.0,0.47376993513721233
17,17,0.20509387599175843,0.0,0.20509387599175843
18,18,0.8982787020573163,1.0,0.8982787020573163
19,19,0.7854539688859028,1.0,0.7854539688859028
20,20,0.13822610238763489,1.0,0.13822610238763489
21,21,0.37080854385201634,1.0,0.37080854385201634
22,22,0.4970772013021778,0.0,0.4970772013021778
23,23,0.6454680593146875,1.0,0.6454680593146875
24,24,0.4167952633137548,0.0,0.4167952633137548
25,25,0.7055572308743399,0.0,0.7055572308743399
26,26,0.6678177716611601,1.0,0.6678177716611601
27,27,0.2812303196964897,1.0,0.2812303196964897
28,28,0.09741073719752669,0.0,0.09741073719752669
29,29,0.09931509568221975,1.0,0.09931509568221975
30,30,0.29253469894180795,0.0,0.29253469894180795
31,31,0.508214623145171,1.0,0.508214623145171
32,32,0.22726442807303515,0.0,0.22726442807303515
33,33,0.31356580989199867,1.0,0.31356580989199867
34,34,0.0956094509075931,0.0,0.0956094509075931
35,35,0.8073078875235321,1.0,0.8073078875235321
36,36,0.6210483854085216,1.0,0.6210483854085216
37,37,0.42477091993918825,0.0,0.42477091993918825
38,38,0.9728397430032913,0.0,0.9728397430032913
39,39,0.6830722747922089,1.0,0.6830722747922089
40,40,0.42210397198039895,0.0,0.42210397198039895
41,41,0.9788350753267757,1.0,0.9788350753267757
42,42,0.48345402612576294,1.0,0.48345402612576294
43,43,0.9525657286865027,1.0,0.9525657286865027
44,44,0.7413838474186116,1.0,0.7413838474186116
45,45,0.9967219270850992,1.0,0.9967219270850992
46,46,0.6755789231617951,1.0,0.6755789231617951
47,47,0.9149697858659772,1.0,0.9149697858659772
48,48,0.9376713484633693,1.0,0.9376713484633693
49,49,0.9817180472505148,1.0,0.9817180472505148
50,50,0.9148073227503299,1.0,0.9148073227503299
51,51,0.9670953388582247,1.0,0.9670953388582247
52,52,0.4943949959266074,0.0,0.4943949959266074
53,53,0.32601647273258816,1.0,0.32601647273258816
54,54,0.3305544069508035,0.0,0.3305544069508035
55,55,0.6054567567959905,0.0,0.6054567567959905
56,56,0.6160727863963807,0.0,0.6160727863963807
57,57,0.19641206974802417,1.0,0.19641206974802417
58,58,0.09027470463917853,0.0,0.09027470463917853
59,59,0.9483443791885806,1.0,0.9483443791885806
60,60,0.23835590900784476,0.0,0.23835590900784476
61,61,0.8482312254651971,1.0,0.8482312254651971
62,62,0.5558904766514134,1.0,0.5558904766514134
63,63,0.24629097633146835,0.0,0.24629097633146835
64,64,0.6842743553023128,1.0,0.6842743553023128
65,65,0.39098751578328395,1.0,0.39098751578328395
66,66,0.2835205007564092,0.0,0.2835205007564092
67,67,0.18976240318013549,1.0,0.18976240318013549
68,68,0.39500627864529936,0.0,0.39500627864529936
69,69,0.5917304781127508,1.0,0.5917304781127508
70,70,0.6332001722296834,1.0,0.6332001722296834
71,71,0.19379386454776504,0.0,0.19379386454776504
72,72,0.6126821154557991,1.0,0.6126821154557991
73,73,0.4225123730115906,0.0,0.4225123730115906
74,74,0.3627558156790138,1.0,0.3627558156790138
75,75,0.6180850515156844,0.0,0.6180850515156844
76,76,0.024138442363779378,0.0,0.024138442363779378
77,77,0.7739978939236236,1.0,0.7739978939236236
78,78,0.5802290899889585,1.0,0.5802290899889585
79,79,0.479667282752404,1.0,0.479667282752404
80,80,0.688726286647416,0.0,0.688726286647416
81,81,0.1821627733304887,0.0,0.1821627733304887
82,82,0.9783426201779485,1.0,0.9783426201779485
83,83,0.6877921317930068,1.0,0.6877921317930068
84,84,0.38974497718077905,0.0,0.38974497718077905
85,85,0.2861172835838536,0.0,0.2861172835838536
